RouteId,RouteVarId,StopId,Code,Name,Lat,Lng,Zone,Ward,StopType,Street,Status
1,1,33,BX 06,Công Trường Mê Linh,10.77679,106.705856,Quận 1,Phường Bến Nghé,Bến xe,Thi Sách,Đang khai thác
1,1,79,Q1 031,Bến Bạch Đằng,10.773299,106.706359,Quận 1,,Trụ dừng,Tôn Đức Thắng,Đang khai thác
1,1,76,Q1 020,Cục Hải Quan Thành Phố,10.770885,106.705549,Quận 1,Phường Bến Nghé,Nhà chờ,Hàm Nghi,Đang khai thác
1,1,3691,Q1 193,Chợ Cũ,10.771006,106.703108,Quận 1,Phường Bến Nghé,Nhà chờ,Hàm Nghi,Đang khai thác
1,1,2028,Q1 194,Trường Cao Thắng,10.771043,106.701853,Quận 1,Phường Bến Nghé,Nhà chờ,Hàm Nghi,Đang khai thác
1,1,4223,Q1 102,Trạm Trung chuyển trên đường Hàm Nghi,10.771043,106.699514,Quận 1,Phường Bến Thành,Nhà chờ,Hàm Nghi,Đang khai thác
1,1,120,Q1 124,Trường Ernst Thalmann,10.768772,106.695923,Quận 1,,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,1,121,Q1 125,KTX Trần Hưng Đạo,10.767363,106.694695,Quận 1,,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,1,122,Q1 126,Rạp Hưng Đạo,10.765832,106.693375,Quận 1,,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,1,123,Q1 127,Bệnh viện Răng Hàm Mặt,10.763918,106.691696,Quận 1,,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,1,124,Q1 128,Trần Đình Xu,10.762262,106.690247,Quận 1,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,1,125,Q1 129,Tổng Cty Samco,10.759409,106.687798,Quận 1,,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,1,126,Q1 130,Chợ Nanci,10.757467,106.686035,Quận 1,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,1,127,Q5 083,Nguyễn Biểu,10.755887,106.68283,Quận 5,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,1,128,Q5 084,Trường Cao đẳng Kinh tế Đối ngoại,10.755623,106.681833,Quận 5,,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,1,129,Q5 085,Trần Bình Trọng,10.755064,106.679794,Quận 5,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,1,130,Q5 086,Bệnh viện Chấn thương Chỉnh hình,10.754537,106.677847,Quận 5,,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,1,131,Q5 087,Rạp Đồng Tháp,10.753984,106.675825,Quận 5,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,1,134,Q5 088,Rạp Đống Đa,10.753573,106.674237,Quận 5,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,1,132,Q5 089,Đồng Khánh,10.752983,106.67149,Quận 5,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,1,14,Q5 099,Nhà Văn hóa Quận 5,10.753025,106.668588,Quận 5,,Trụ dừng,Trần Phú,Đang khai thác
1,1,136,Q5 090,Ngô Quyền,10.752477,106.666174,Quận 5,,Biển treo,Trần Hưng Đạo,Đang khai thác
1,1,133,Q5 091,Tản Đà,10.752292,106.663706,Quận 5,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,1,135,Q5 092,Triệu Quang Phục,10.75206,106.660536,Quận 5,Phường 11,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,1,137,Q5 014,Bưu điện Quận 5,10.751381,106.658894,Quận 5,,Ô sơn,Châu Văn Liêm,Đang khai thác
1,1,138,Q5 015,Hải Thượng Lãn Ông,10.750948,106.658358,Quận 5,,Trụ dừng,Hải Thượng Lãn Ông,Đang khai thác
1,1,139,Q5 102,Chợ Kim Biên,10.751128,106.655086,Quận 5,,Trụ dừng,Trang Tử,Đang khai thác
1,1,8,BX14,Bến xe buýt Chợ Lớn,10.751253,106.652565,Quận 5,,Bến xe,Lê Quang Sung,Đang khai thác
1,2,8,BX14,Bến xe buýt Chợ Lớn,10.751253,106.652565,Quận 5,,Bến xe,Lê Quang Sung,Đang khai thác
1,2,2393,Q6 096,Tháp Mười,10.750326,106.653036,Quận 6,,Trụ dừng,Tháp Mười,Đang khai thác
1,2,2,Q5 016,Chợ Kim Biên,10.750732,106.655075,Quận 5,,Trụ dừng,Hải Thượng Lãn Ông,Đang khai thác
1,2,3,Q5 011,Bưu điện Quận 5,10.751368,106.659203,Quận 5,,Ô sơn,Châu Văn Liêm,Đang khai thác
1,2,5,Q5 012,Rạp Đại Quang,10.752566,106.658937,Quận 5,,Nhà chờ,Châu Văn Liêm,Đang khai thác
1,2,4,Q5 055,Lương Nhữ Học,10.752962,106.660418,Quận 5,,Trụ dừng,Nguyễn Trãi,Đang khai thác
1,2,7,Q5 056,Triệu Quang Phục,10.753088,106.662081,Quận 5,,Trụ dừng,Nguyễn Trãi,Đang khai thác
1,2,9,Q5 057,Đại học Sư phạm Thể dục thể thao,10.753341,106.663486,Quận 5,,Nhà chờ,Nguyễn Trãi,Đang khai thác
1,2,12,Q5 058,Siêu thị Điện máy Chợ Lớn,10.753626,106.664913,Quận 5,,Trụ dừng,Nguyễn Trãi,Đang khai thác
1,2,6,Q5 059,Ngô Quyền,10.754,106.666882,Quận 5,,Trụ dừng,Nguyễn Trãi,Đang khai thác
1,2,10,Q5 060,Chung cư Nguyễn Trãi,10.754337,106.668572,Quận 5,,Trụ dừng,Nguyễn Trãi,Đang khai thác
1,2,3166,Q5 061,Bệnh viện Nguyễn Tri Phương,10.754638,106.670149,Quận 5,,Nhà chờ,Nguyễn Trãi,Đang khai thác
1,2,3519,Q5 062,Trần Phú,10.755212,106.673014,Quận 5,,Ô sơn,Nguyễn Trãi,Đang khai thác
1,2,3521,Q5 063,Bệnh viện Nguyễn Trãi,10.755839,106.675084,Quận 5,,Trụ dừng,Nguyễn Trãi,Đang khai thác
1,2,15,Q5 096,Bệnh viện Chấn Thương Chỉnh hình,10.754421,106.678271,Quận 5,,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,2,19,Q5 097,Trần Bình Trọng,10.754912,106.680041,Quận 5,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,2,20,Q5 098,Nguyễn Biểu,10.756066,106.68437,Quận 5,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,2,18,Q1 131,Chợ Nanci,10.75699,106.685883,Quận 1,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,2,22,Q1 132,Tổng Cty Samco,10.759734,106.688254,Quận 1,,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,2,21,Q1 133,Sở PCCC,10.760656,106.689096,Quận 1,,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,2,23,Q1 134,Hồ Hảo Hớn,10.762395,106.690636,Quận 1,,Trụ dừng,Trần Hưng Đạo,Đang khai thác
1,2,24,Q1 135,Bệnh Viện Răng Hàm Mặt,10.763567,106.691612,Quận 1,Phường Cô Giang,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,2,25,Q1 136,Rạp Trần Hưng Đạo,10.76483,106.692722,Quận 1,Phường Cô Giang,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,2,26,Q1 137,KTX Trần Hưng Đạo,10.767064,106.694824,Quận 1,Phường Cầu Ông Lãnh,Nhà chờ,Trần Hưng Đạo,Đang khai thác
1,2,27,Q1 138,Nguyễn Kim,10.768327,106.695847,Quận 1,,Nhà chờ,Trần Hưng Đạo,Đang khai thác
